회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
휠라홀딩스,081660,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28,12월,윤근창,http://www.filaholdings.com/kr/main/index.asp,서울특별시
현대홈쇼핑,057050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,2010-09-13,12월,"정교선,강찬석(각자 대표이사)",http://www.hmall.com,서울특별시
한미약품,128940,의약품 제조업,의약품,2010-07-30,12월,"우종수, 권세창",,경기도
한라홀딩스,060980,기타 금융업,지주회사 및 경영컨설팅 서비스업,2010-05-19,12월,"홍석화, 최경선",http://www.hallaholdings.com,경기도
삼성생명,032830,보험업,"생명보험,부동산 임대",2010-05-12,12월,전영묵,http://www.samsunglife.com,서울특별시
한화생명,088350,보험업,생명보험,2010-03-17,12월,여승주,http://www.hanwhalife.com,서울특별시
코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름",2010-02-01,12월,장희구,,서울특별시
락앤락,115390,플라스틱제품 제조업,플라스틱 밀폐용기,2010-01-28,12월,김성훈,,충청남도
한전기술,052690,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,2009-12-14,12월,이배수,http://www.kepco-enc.com,경상북도
GKL,114090,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,유태열,http://www.grandkorea.com,서울특별시
SK,034730,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,12월,"최태원, 장동현, 박성하",http://www.sk.co.kr,서울특별시
하이트진로,000080,알코올음료 제조업,소주,2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시
영원무역,111770,상품 종합 도매업,스포츠의류,2009-07-30,12월,성기학,,서울특별시
LG하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20,12월,"강계웅, 강인식",http://www.lghausys.com,서울특별시
한세실업,105630,봉제의복 제조업,의류 완제품,2009-03-20,12월,"김익환, 조희선",http://www.hansae.com,서울특별시
NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,12월,한성숙,http://www.navercorp.com,경기도
KB금융,105560,기타 금융업,-,2008-10-10,12월,윤종규,http://www.kbfg.com,서울특별시
풍산,103140,1차 비철금속 제조업,,2008-07-30,12월,"류진, 박우동",http://www.poongsan.co.kr,경기도
LG이노텍,011070,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,정철동,http://www.lginnotek.co.kr,서울특별시
LG유플러스,032640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,12월,하현회,http://www.uplus.co.kr,서울특별시
한전KPS,051600,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",2007-12-14,12월,김범년,http://www.kps.co.kr,전라남도
CJ제일제당,097950,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 강신호 (각자 대표이사)",http://www.cj.co.kr,서울특별시
팬오션,028670,해상 운송업,"해상화물운송(외항,운수보관)",2007-09-21,12월,"김홍국, 안중호(각자 대표이사)",http://www.panocean.com,서울특별시
JW홀딩스,096760,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시
SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,김준,http://www.SKinnovation.com,서울특별시
삼성카드,029780,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",2007-06-27,12월,김대환,http://www.samsungcard.co.kr,서울특별시
